Nâng cấp bắt đầu: 16:11:14_10-07-2023
16:11:14_10-07-2023 | ::1 | Cập nhật module News lên 4.5.02 | SUCCESS
16:11:15_10-07-2023 | ::1 | Cập nhật hệ thống lên 4.5.02 | SUCCESS
16:11:16_10-07-2023 | ::1 | Cập nhật module News lên 4.5.03 | SUCCESS
16:11:17_10-07-2023 | ::1 | Cập nhật CSDL lên phiên bản 4.5.03 | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục assets/editors/ckeditor/plugins/eqneditor/dialogs/lang | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục assets/js/DOMPurify | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục assets/js/plyr | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục assets/tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/contact | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/contact/admin | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/contact/funcs | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/contact/language | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/menu | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/menu/admin | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/menu/blocks | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/news | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/news/Log | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/news/Shared | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/news/admin | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/news/funcs | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/news/language | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/statistics | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/statistics/admin | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/statistics/funcs | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/voting | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/voting/admin | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/voting/blocks | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/voting/funcs | SUCCESS
16:11:37_10-07-2023 | ::1 | Tạo thư mục modules/voting/language | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/authors/2step.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/authors/2step_zalo.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/authors/api-credentials.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/authors/api-roles.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/authors/module.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/index.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/language/check.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/modules/change_custom_name.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/modules/change_site_title.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/settings/admin.menu.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/settings/functions.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/settings/security.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/settings/system.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/upload/config.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/upload/thumbconfig.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/upload/uploadconfig.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/zalo/admin.menu.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/zalo/functions.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/zalo/index.html | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/zalo/main.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file admin/zalo/settings.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file api.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/css/rss.xsl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/LICENSE.md | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/adapters/jquery.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/build-config.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/ckeditor.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/contents.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/lang/en.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/lang/fr.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/lang/vi.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/nv.php | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/kama/balloonpanel.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono/balloonpanel.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono-lisa/balloonpanel.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/clipboard/dialogs/paste.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/codesnippet/dialogs/codesnippet.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/copyformatting/styles/copyformatting.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/dialog/dialogDefinition.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/eqneditor/dialogs/eqneditor.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/eqneditor/dialogs/lang/en.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/find/dialogs/find.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/googledocs/dialogs/googledocs.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/googledocs/dialogs/googledocs.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/icons.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/icons_hidpi.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/iframe/dialogs/iframe.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/image2/dialogs/image2.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/anchor.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/link.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/liststyle/dialogs/liststyle.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/pastefromword/filter/default.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/common.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/image.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/placeholder/dialogs/placeholder.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/smiley/dialogs/smiley.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/en.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/fr.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/vi.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/specialchar.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/table/dialogs/table.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/tabletools/dialogs/tableCell.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/templatedefinition.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/templates/default.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/dialogs/video.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/images/placeholder.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie.css | SUCCESS
